genome_name	sgb_id	usgb	study	sample_name	genome_size	n_fifty	number_contigs	completeness	contamination	assigned_species	assigned_genus	assigned_family	assigned_order	assigned_class	assigned_phylum	assigned_kingdom	closest_species	closest_genus	closest_family	closest_order	closest_class	closest_phylum	closest_kingdom	average_distance	sequence_url	annotations_url	uniref_url
BackhedF_2015__SID526_12M__bin.23	15132	No	BackhedF_2015	SID526_12M	2450638	6000	500	84.77	0.56	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/BackhedF_2015__SID526_12M__bin.23.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/BackhedF_2015__SID526_12M__bin.23.txt
BackhedF_2015__SID532_4M__bin.25	15132	No	BackhedF_2015	SID532_4M	3234552	12848	357	94.68	0.47	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/BackhedF_2015__SID532_4M__bin.25.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/BackhedF_2015__SID532_4M__bin.25.txt
BackhedF_2015__SID544_4M__bin.3	15132	No	BackhedF_2015	SID544_4M	2606702	10403	369	90.94	1.39	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/BackhedF_2015__SID544_4M__bin.3.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/BackhedF_2015__SID544_4M__bin.3.txt
BackhedF_2015__SID549_4M__bin.6	15132	No	BackhedF_2015	SID549_4M	3283292	10295	448	94.03	0.36	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/BackhedF_2015__SID549_4M__bin.6.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/BackhedF_2015__SID549_4M__bin.6.txt
BackhedF_2015__SID572_B__bin.12	15132	No	BackhedF_2015	SID572_B	2526292	12182	298	90.72	1.03	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/BackhedF_2015__SID572_B__bin.12.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/BackhedF_2015__SID572_B__bin.12.txt
BackhedF_2015__SID590_12M__bin.18	15132	No	BackhedF_2015	SID590_12M	1559786	3369	505	50.19	0.00	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/BackhedF_2015__SID590_12M__bin.18.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/BackhedF_2015__SID590_12M__bin.18.txt
BackhedF_2015__SID608_12M__bin.18	15132	No	BackhedF_2015	SID608_12M	3257507	7503	564	89.09	1.48	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/BackhedF_2015__SID608_12M__bin.18.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/BackhedF_2015__SID608_12M__bin.18.txt
BackhedF_2015__SID624_12M__bin.10	15132	No	BackhedF_2015	SID624_12M	2943661	8280	485	86.41	0.78	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/BackhedF_2015__SID624_12M__bin.10.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/BackhedF_2015__SID624_12M__bin.10.txt
BackhedF_2015__SID640_4M__bin.18	15132	No	BackhedF_2015	SID640_4M	2390429	5207	547	75.78	0.81	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/BackhedF_2015__SID640_4M__bin.18.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/BackhedF_2015__SID640_4M__bin.18.txt
BackhedF_2015__SID82_4M__bin.34	15132	No	BackhedF_2015	SID82_4M	2707758	13249	297	89.71	0.89	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/BackhedF_2015__SID82_4M__bin.34.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/BackhedF_2015__SID82_4M__bin.34.txt
BackhedF_2015__SID9_12M__bin.8	15132	No	BackhedF_2015	SID9_12M	2112333	4288	572	74.64	0.47	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/BackhedF_2015__SID9_12M__bin.8.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/BackhedF_2015__SID9_12M__bin.8.txt
BackhedF_2015__SID9_4M__bin.8	15132	No	BackhedF_2015	SID9_4M	2615619	5591	592	76.80	1.25	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/BackhedF_2015__SID9_4M__bin.8.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/BackhedF_2015__SID9_4M__bin.8.txt
Bengtsson-PalmeJ_2015__TRAVELRES34__bin.32	15132	No	Bengtsson-PalmeJ_2015	TRAVELRES34	2581600	7232	494	76.61	1.81	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/Bengtsson-PalmeJ_2015__TRAVELRES34__bin.32.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/Bengtsson-PalmeJ_2015__TRAVELRES34__bin.32.txt
Bengtsson-PalmeJ_2015__TRAVELRES51__bin.10	15143	No	Bengtsson-PalmeJ_2015	TRAVELRES51	1438913	3641	424	51.33	0.00	Flavonifractor sp	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Clostridium sp	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15143/Bengtsson-PalmeJ_2015__TRAVELRES51__bin.10.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15143.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15143/Bengtsson-PalmeJ_2015__TRAVELRES51__bin.10.txt
ChengpingW_2017__AS103raw__bin.22	15132	No	ChengpingW_2017	AS103raw	2784277	41283	105	97.65	0.81	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/ChengpingW_2017__AS103raw__bin.22.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/ChengpingW_2017__AS103raw__bin.22.txt
ChengpingW_2017__AS123raw__bin.22	15132	No	ChengpingW_2017	AS123raw	3334756	18082	293	94.57	0.81	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/ChengpingW_2017__AS123raw__bin.22.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/ChengpingW_2017__AS123raw__bin.22.txt
ChengpingW_2017__AS126raw__bin.3	15132	No	ChengpingW_2017	AS126raw	3284948	44170	119	98.15	0.13	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/ChengpingW_2017__AS126raw__bin.3.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/ChengpingW_2017__AS126raw__bin.3.txt
ChengpingW_2017__AS130raw__bin.11	15132	No	ChengpingW_2017	AS130raw	3189978	37487	143	96.14	0.13	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/ChengpingW_2017__AS130raw__bin.11.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/ChengpingW_2017__AS130raw__bin.11.txt
ChengpingW_2017__AS138raw__bin.39	15132	No	ChengpingW_2017	AS138raw	3398164	8476	553	87.39	0.00	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/ChengpingW_2017__AS138raw__bin.39.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/ChengpingW_2017__AS138raw__bin.39.txt
ChengpingW_2017__AS25raw__bin.22	15159	No	ChengpingW_2017	AS25raw	2374040	24040	154	97.52	0.00	Flavonifractor sp	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor sp	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.03	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15159/ChengpingW_2017__AS25raw__bin.22.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15159.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15159/ChengpingW_2017__AS25raw__bin.22.txt
ChengpingW_2017__AS62raw__bin.7	15132	No	ChengpingW_2017	AS62raw	3217331	16466	324	93.90	0.02	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/ChengpingW_2017__AS62raw__bin.7.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/ChengpingW_2017__AS62raw__bin.7.txt
ChengpingW_2017__AS68raw__bin.46	15132	No	ChengpingW_2017	AS68raw	2471808	4719	615	78.12	3.71	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/ChengpingW_2017__AS68raw__bin.46.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/ChengpingW_2017__AS68raw__bin.46.txt
ChengpingW_2017__AS71raw__bin.22	15132	No	ChengpingW_2017	AS71raw	3347493	71094	91	98.66	0.13	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/ChengpingW_2017__AS71raw__bin.22.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/ChengpingW_2017__AS71raw__bin.22.txt
ChengpingW_2017__AS81raw__bin.19	15132	No	ChengpingW_2017	AS81raw	2912095	49872	102	86.20	0.81	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/ChengpingW_2017__AS81raw__bin.19.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/ChengpingW_2017__AS81raw__bin.19.txt
ChengpingW_2017__AS82raw__bin.12	15132	No	ChengpingW_2017	AS82raw	3316208	8856	494	88.59	1.27	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/ChengpingW_2017__AS82raw__bin.12.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/ChengpingW_2017__AS82raw__bin.12.txt
ChengpingW_2017__AS94raw__bin.17	15132	No	ChengpingW_2017	AS94raw	2615862	4527	662	78.05	0.02	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/ChengpingW_2017__AS94raw__bin.17.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/ChengpingW_2017__AS94raw__bin.17.txt
CosteaPI_2017__SID713A045-11-0-0__bin.27	15132	No	CosteaPI_2017	SID713A045-11-0-0	3171344	20402	239	97.15	0.81	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/CosteaPI_2017__SID713A045-11-0-0__bin.27.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/CosteaPI_2017__SID713A045-11-0-0__bin.27.txt
CosteaPI_2017__alien-11-632-0__bin.33	15132	No	CosteaPI_2017	alien-11-632-0	2033662	4534	523	60.66	0.00	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/CosteaPI_2017__alien-11-632-0__bin.33.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/CosteaPI_2017__alien-11-632-0__bin.33.txt
CosteaPI_2017__alien-11-637-0__bin.74	15132	No	CosteaPI_2017	alien-11-637-0	1596505	3416	505	52.01	0.00	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	Flavonifractor plautii	Flavonifractor	Clostridiales unclassified	Clostridiales	Clostridia	Firmicutes	Bacteria	0.02	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/genomes/15132/CosteaPI_2017__alien-11-637-0__bin.74.fa	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/eggnog/15132.tsv	https://s3-eu-west-1.amazonaws.com/sgb-genomes/data/uniref/90/15132/CosteaPI_2017__alien-11-637-0__bin.74.txt
